Period,Label1,Value
2017-06-13,New Zealand passport,6668
2017-06-13,Other passports,7112
2017-06-13,Total,13780
2017-06-14,New Zealand passport,7267
2017-06-14,Other passports,6352
2017-06-14,Total,13619
2017-06-15,New Zealand passport,8152
2017-06-15,Other passports,7061
2017-06-15,Total,15213
2017-06-16,New Zealand passport,8675
2017-06-16,Other passports,8353
2017-06-16,Total,17028
2017-06-17,New Zealand passport,7473
2017-06-17,Other passports,6727
2017-06-17,Total,14200
2017-06-18,New Zealand passport,7976
2017-06-18,Other passports,9010
2017-06-18,Total,16986
2017-06-19,New Zealand passport,6506
2017-06-19,Other passports,6586
2017-06-19,Total,13092
2017-06-20,New Zealand passport,6191
2017-06-20,Other passports,7018
2017-06-20,Total,13209
2017-06-21,New Zealand passport,7629
2017-06-21,Other passports,6799
2017-06-21,Total,14428
2017-06-22,New Zealand passport,7952
2017-06-22,Other passports,7139
2017-06-22,Total,15091
2017-06-23,New Zealand passport,8629
2017-06-23,Other passports,7993
2017-06-23,Total,16622
2017-06-24,New Zealand passport,8748
2017-06-24,Other passports,7342
2017-06-24,Total,16090
2017-06-25,New Zealand passport,7417
2017-06-25,Other passports,11294
2017-06-25,Total,18711
2017-06-26,New Zealand passport,7211
2017-06-26,Other passports,9026
2017-06-26,Total,16237
2017-06-27,New Zealand passport,6843
2017-06-27,Other passports,7335
2017-06-27,Total,14178
2017-06-28,New Zealand passport,8780
2017-06-28,Other passports,8573
2017-06-28,Total,17353
2017-06-29,New Zealand passport,8877
2017-06-29,Other passports,8159
2017-06-29,Total,17036
2017-06-30,New Zealand passport,10192
2017-06-30,Other passports,9371
2017-06-30,Total,19563
2017-07-01,New Zealand passport,10322
2017-07-01,Other passports,8486
2017-07-01,Total,18808
2017-07-02,New Zealand passport,8296
2017-07-02,Other passports,11239
2017-07-02,Total,19535
2017-07-03,New Zealand passport,8397
2017-07-03,Other passports,10193
2017-07-03,Total,18590
2017-07-04,New Zealand passport,8734
2017-07-04,Other passports,9683
2017-07-04,Total,18417
2017-07-05,New Zealand passport,10786
2017-07-05,Other passports,8908
2017-07-05,Total,19694
2017-07-06,New Zealand passport,10701
2017-07-06,Other passports,8841
2017-07-06,Total,19542
2017-07-07,New Zealand passport,13448
2017-07-07,Other passports,9590
2017-07-07,Total,23038
2017-07-08,New Zealand passport,13534
2017-07-08,Other passports,9766
2017-07-08,Total,23300
2017-07-09,New Zealand passport,10494
2017-07-09,Other passports,14769
2017-07-09,Total,25263
2017-07-10,New Zealand passport,9183
2017-07-10,Other passports,12347
2017-07-10,Total,21530
2017-07-11,New Zealand passport,9965
2017-07-11,Other passports,11595
2017-07-11,Total,21560
2017-07-12,New Zealand passport,10613
2017-07-12,Other passports,9580
2017-07-12,Total,20193
2017-07-13,New Zealand passport,10219
2017-07-13,Other passports,9914
2017-07-13,Total,20133
2017-07-14,New Zealand passport,11063
2017-07-14,Other passports,10462
2017-07-14,Total,21525
2017-07-15,New Zealand passport,9914
2017-07-15,Other passports,10553
2017-07-15,Total,20467
2017-07-16,New Zealand passport,9158
2017-07-16,Other passports,10762
2017-07-16,Total,19920
2017-07-17,New Zealand passport,8734
2017-07-17,Other passports,9055
2017-07-17,Total,17789
2017-07-18,New Zealand passport,8534
2017-07-18,Other passports,8592
2017-07-18,Total,17126
2017-07-19,New Zealand passport,8506
2017-07-19,Other passports,7500
2017-07-19,Total,16006
2017-07-20,New Zealand passport,8596
2017-07-20,Other passports,8202
2017-07-20,Total,16798
2017-07-21,New Zealand passport,8396
2017-07-21,Other passports,7748
2017-07-21,Total,16144
2017-07-22,New Zealand passport,8930
2017-07-22,Other passports,9574
2017-07-22,Total,18504
2017-07-23,New Zealand passport,8178
2017-07-23,Other passports,9053
2017-07-23,Total,17231
2017-07-24,New Zealand passport,7222
2017-07-24,Other passports,7083
2017-07-24,Total,14305
2017-07-25,New Zealand passport,6890
2017-07-25,Other passports,6840
2017-07-25,Total,13730
2017-07-26,New Zealand passport,7953
2017-07-26,Other passports,7118
2017-07-26,Total,15071
2017-07-27,New Zealand passport,8352
2017-07-27,Other passports,6992
2017-07-27,Total,15344
2017-07-28,New Zealand passport,8749
2017-07-28,Other passports,7735
2017-07-28,Total,16484
2017-07-29,New Zealand passport,8544
2017-07-29,Other passports,8548
2017-07-29,Total,17092
2017-07-30,New Zealand passport,7773
2017-07-30,Other passports,9308
2017-07-30,Total,17081
2017-07-31,New Zealand passport,6603
2017-07-31,Other passports,7663
2017-07-31,Total,14266
2017-08-01,New Zealand passport,6741
2017-08-01,Other passports,6718
2017-08-01,Total,13459
2017-08-02,New Zealand passport,8194
2017-08-02,Other passports,6925
2017-08-02,Total,15119
2017-08-03,New Zealand passport,8284
2017-08-03,Other passports,7223
2017-08-03,Total,15507
2017-08-04,New Zealand passport,8844
2017-08-04,Other passports,8246
2017-08-04,Total,17090
2017-08-05,New Zealand passport,8627
2017-08-05,Other passports,8608
2017-08-05,Total,17235
2017-08-06,New Zealand passport,7765
2017-08-06,Other passports,9235
2017-08-06,Total,17000
2017-08-07,New Zealand passport,6379
2017-08-07,Other passports,7671
2017-08-07,Total,14050
2017-08-08,New Zealand passport,6206
2017-08-08,Other passports,7731
2017-08-08,Total,13937
2017-08-09,New Zealand passport,7625
2017-08-09,Other passports,7340
2017-08-09,Total,14965
2017-08-10,New Zealand passport,8226
2017-08-10,Other passports,8004
2017-08-10,Total,16230
2017-08-11,New Zealand passport,8779
2017-08-11,Other passports,9178
2017-08-11,Total,17957
2017-08-12,New Zealand passport,8312
2017-08-12,Other passports,9179
2017-08-12,Total,17491
2017-08-13,New Zealand passport,7206
2017-08-13,Other passports,9975
2017-08-13,Total,17181
2017-08-14,New Zealand passport,6751
2017-08-14,Other passports,9071
2017-08-14,Total,15822
2017-08-15,New Zealand passport,6441
2017-08-15,Other passports,8094
2017-08-15,Total,14535
2017-08-16,New Zealand passport,8167
2017-08-16,Other passports,8297
2017-08-16,Total,16464
2017-08-17,New Zealand passport,9069
2017-08-17,Other passports,8387
2017-08-17,Total,17456
2017-08-18,New Zealand passport,9699
2017-08-18,Other passports,9449
2017-08-18,Total,19148
2017-08-19,New Zealand passport,8917
2017-08-19,Other passports,9876
2017-08-19,Total,18793
2017-08-20,New Zealand passport,7837
2017-08-20,Other passports,10909
2017-08-20,Total,18746
2017-08-21,New Zealand passport,6774
2017-08-21,Other passports,8579
2017-08-21,Total,15353
2017-08-22,New Zealand passport,6603
2017-08-22,Other passports,7787
2017-08-22,Total,14390
2017-08-23,New Zealand passport,8385
2017-08-23,Other passports,7973
2017-08-23,Total,16358
2017-08-24,New Zealand passport,8406
2017-08-24,Other passports,8014
2017-08-24,Total,16420
2017-08-25,New Zealand passport,10081
2017-08-25,Other passports,8949
2017-08-25,Total,19030
2017-08-26,New Zealand passport,8706
2017-08-26,Other passports,9079
2017-08-26,Total,17785
2017-08-27,New Zealand passport,7865
2017-08-27,Other passports,10883
2017-08-27,Total,18748
2017-08-28,New Zealand passport,6841
2017-08-28,Other passports,8284
2017-08-28,Total,15125
2017-08-29,New Zealand passport,6713
2017-08-29,Other passports,8147
2017-08-29,Total,14860
2017-08-30,New Zealand passport,7623
2017-08-30,Other passports,7832
2017-08-30,Total,15455
2017-08-31,New Zealand passport,8444
2017-08-31,Other passports,7589
2017-08-31,Total,16033
2017-09-01,New Zealand passport,10679
2017-09-01,Other passports,8360
2017-09-01,Total,19039
2017-09-02,New Zealand passport,9369
2017-09-02,Other passports,7654
2017-09-02,Total,17023
2017-09-03,New Zealand passport,8634
2017-09-03,Other passports,9234
2017-09-03,Total,17868
2017-09-04,New Zealand passport,9174
2017-09-04,Other passports,7112
2017-09-04,Total,16286
2017-09-05,New Zealand passport,6801
2017-09-05,Other passports,6371
2017-09-05,Total,13172
2017-09-06,New Zealand passport,8337
2017-09-06,Other passports,6501
2017-09-06,Total,14838
2017-09-07,New Zealand passport,8984
2017-09-07,Other passports,6459
2017-09-07,Total,15443
2017-09-08,New Zealand passport,9494
2017-09-08,Other passports,7689
2017-09-08,Total,17183
2017-09-09,New Zealand passport,8934
2017-09-09,Other passports,7717
2017-09-09,Total,16651
2017-09-10,New Zealand passport,7813
2017-09-10,Other passports,8704
2017-09-10,Total,16517
2017-09-11,New Zealand passport,6452
2017-09-11,Other passports,6754
2017-09-11,Total,13206
2017-09-12,New Zealand passport,6676
2017-09-12,Other passports,6465
2017-09-12,Total,13141
2017-09-13,New Zealand passport,8154
2017-09-13,Other passports,6999
2017-09-13,Total,15153
2017-09-14,New Zealand passport,8462
2017-09-14,Other passports,6879
2017-09-14,Total,15341
2017-09-15,New Zealand passport,8635
2017-09-15,Other passports,8182
2017-09-15,Total,16817
2017-09-16,New Zealand passport,7833
2017-09-16,Other passports,8186
2017-09-16,Total,16019
2017-09-17,New Zealand passport,7010
2017-09-17,Other passports,8856
2017-09-17,Total,15866
2017-09-18,New Zealand passport,6581
2017-09-18,Other passports,7025
2017-09-18,Total,13606
2017-09-19,New Zealand passport,7644
2017-09-19,Other passports,7074
2017-09-19,Total,14718
2017-09-20,New Zealand passport,7472
2017-09-20,Other passports,7416
2017-09-20,Total,14888
2017-09-21,New Zealand passport,9239
2017-09-21,Other passports,7605
2017-09-21,Total,16844
2017-09-22,New Zealand passport,9171
2017-09-22,Other passports,8501
2017-09-22,Total,17672
2017-09-23,New Zealand passport,8685
2017-09-23,Other passports,9058
2017-09-23,Total,17743
2017-09-24,New Zealand passport,7113
2017-09-24,Other passports,9433
2017-09-24,Total,16546
2017-09-25,New Zealand passport,6896
2017-09-25,Other passports,8573
2017-09-25,Total,15469
2017-09-26,New Zealand passport,7375
2017-09-26,Other passports,8625
2017-09-26,Total,16000
2017-09-27,New Zealand passport,10083
2017-09-27,Other passports,8936
2017-09-27,Total,19019
2017-09-28,New Zealand passport,10554
2017-09-28,Other passports,9344
2017-09-28,Total,19898
2017-09-29,New Zealand passport,11667
2017-09-29,Other passports,9906
2017-09-29,Total,21573
2017-09-30,New Zealand passport,11795
2017-09-30,Other passports,9985
2017-09-30,Total,21780
2017-10-01,New Zealand passport,9774
2017-10-01,Other passports,10154
2017-10-01,Total,19928
2017-10-02,New Zealand passport,11108
2017-10-02,Other passports,10946
2017-10-02,Total,22054
2017-10-03,New Zealand passport,9290
2017-10-03,Other passports,9242
2017-10-03,Total,18532
2017-10-04,New Zealand passport,9909
2017-10-04,Other passports,9349
2017-10-04,Total,19258
2017-10-05,New Zealand passport,10180
2017-10-05,Other passports,8874
2017-10-05,Total,19054
2017-10-06,New Zealand passport,9839
2017-10-06,Other passports,9986
2017-10-06,Total,19825
2017-10-07,New Zealand passport,9236
2017-10-07,Other passports,11436
2017-10-07,Total,20672
2017-10-08,New Zealand passport,7462
2017-10-08,Other passports,11308
2017-10-08,Total,18770
2017-10-09,New Zealand passport,8429
2017-10-09,Other passports,9582
2017-10-09,Total,18011
2017-10-10,New Zealand passport,9078
2017-10-10,Other passports,8972
2017-10-10,Total,18050
2017-10-11,New Zealand passport,7621
2017-10-11,Other passports,7454
2017-10-11,Total,15075
2017-10-12,New Zealand passport,9144
2017-10-12,Other passports,9075
2017-10-12,Total,18219
2017-10-13,New Zealand passport,8200
2017-10-13,Other passports,9235
2017-10-13,Total,17435
2017-10-14,New Zealand passport,8117
2017-10-14,Other passports,9664
2017-10-14,Total,17781
2017-10-15,New Zealand passport,7244
2017-10-15,Other passports,9021
2017-10-15,Total,16265
2017-10-16,New Zealand passport,6868
2017-10-16,Other passports,7502
2017-10-16,Total,14370
2017-10-17,New Zealand passport,6573
2017-10-17,Other passports,7599
2017-10-17,Total,14172
2017-10-18,New Zealand passport,8756
2017-10-18,Other passports,7328
2017-10-18,Total,16084
2017-10-19,New Zealand passport,10202
2017-10-19,Other passports,7021
2017-10-19,Total,17223
2017-10-20,New Zealand passport,10677
2017-10-20,Other passports,9144
2017-10-20,Total,19821
2017-10-21,New Zealand passport,8659
2017-10-21,Other passports,8278
2017-10-21,Total,16937
2017-10-22,New Zealand passport,7154
2017-10-22,Other passports,9133
2017-10-22,Total,16287
2017-10-23,New Zealand passport,8059
2017-10-23,Other passports,8384
2017-10-23,Total,16443
2017-10-24,New Zealand passport,6213
2017-10-24,Other passports,7455
2017-10-24,Total,13668
2017-10-25,New Zealand passport,6921
2017-10-25,Other passports,7355
2017-10-25,Total,14276
2017-10-26,New Zealand passport,7859
2017-10-26,Other passports,7430
2017-10-26,Total,15289
2017-10-27,New Zealand passport,7973
2017-10-27,Other passports,9386
2017-10-27,Total,17359
2017-10-28,New Zealand passport,6981
2017-10-28,Other passports,9321
2017-10-28,Total,16302
2017-10-29,New Zealand passport,6350
2017-10-29,Other passports,10199
2017-10-29,Total,16549
2017-10-30,New Zealand passport,5861
2017-10-30,Other passports,9921
2017-10-30,Total,15782
2017-10-31,New Zealand passport,6865
2017-10-31,Other passports,8654
2017-10-31,Total,15519
2017-11-01,New Zealand passport,7252
2017-11-01,Other passports,8453
2017-11-01,Total,15705
2017-11-02,New Zealand passport,7235
2017-11-02,Other passports,7943
2017-11-02,Total,15178
2017-11-03,New Zealand passport,8267
2017-11-03,Other passports,9815
2017-11-03,Total,18082
2017-11-04,New Zealand passport,7805
2017-11-04,Other passports,9556
2017-11-04,Total,17361
2017-11-05,New Zealand passport,6371
2017-11-05,Other passports,10047
2017-11-05,Total,16418
2017-11-06,New Zealand passport,5968
2017-11-06,Other passports,10229
2017-11-06,Total,16197
2017-11-07,New Zealand passport,5464
2017-11-07,Other passports,9702
2017-11-07,Total,15166
2017-11-08,New Zealand passport,6590
2017-11-08,Other passports,9441
2017-11-08,Total,16031
2017-11-09,New Zealand passport,7425
2017-11-09,Other passports,9180
2017-11-09,Total,16605
2017-11-10,New Zealand passport,7853
2017-11-10,Other passports,10358
2017-11-10,Total,18211
2017-11-11,New Zealand passport,6803
2017-11-11,Other passports,11659
2017-11-11,Total,18462
2017-11-12,New Zealand passport,6239
2017-11-12,Other passports,14057
2017-11-12,Total,20296
2017-11-13,New Zealand passport,6253
2017-11-13,Other passports,11420
2017-11-13,Total,17673
2017-11-14,New Zealand passport,5867
2017-11-14,Other passports,10000
2017-11-14,Total,15867
2017-11-15,New Zealand passport,7136
2017-11-15,Other passports,10178
2017-11-15,Total,17314
2017-11-16,New Zealand passport,7561
2017-11-16,Other passports,10127
2017-11-16,Total,17688
2017-11-17,New Zealand passport,8047
2017-11-17,Other passports,14773
2017-11-17,Total,22820
2017-11-18,New Zealand passport,6536
2017-11-18,Other passports,11647
2017-11-18,Total,18183
2017-11-19,New Zealand passport,5963
2017-11-19,Other passports,12490
2017-11-19,Total,18453
2017-11-20,New Zealand passport,6263
2017-11-20,Other passports,12083
2017-11-20,Total,18346
2017-11-21,New Zealand passport,5727
2017-11-21,Other passports,11138
2017-11-21,Total,16865
2017-11-22,New Zealand passport,6609
2017-11-22,Other passports,11364
2017-11-22,Total,17973
2017-11-23,New Zealand passport,7632
2017-11-23,Other passports,12157
2017-11-23,Total,19789
2017-11-24,New Zealand passport,7503
2017-11-24,Other passports,13232
2017-11-24,Total,20735
2017-11-25,New Zealand passport,7413
2017-11-25,Other passports,13629
2017-11-25,Total,21042
2017-11-26,New Zealand passport,5996
2017-11-26,Other passports,14413
2017-11-26,Total,20409
2017-11-27,New Zealand passport,6981
2017-11-27,Other passports,14270
2017-11-27,Total,21251
2017-11-28,New Zealand passport,6090
2017-11-28,Other passports,13077
2017-11-28,Total,19167
2017-11-29,New Zealand passport,7204
2017-11-29,Other passports,12868
2017-11-29,Total,20072
2017-11-30,New Zealand passport,7319
2017-11-30,Other passports,12583
2017-11-30,Total,19902
2017-12-01,New Zealand passport,7823
2017-12-01,Other passports,14141
2017-12-01,Total,21964
2017-12-02,New Zealand passport,6786
2017-12-02,Other passports,13914
2017-12-02,Total,20700
2017-12-03,New Zealand passport,6348
2017-12-03,Other passports,13724
2017-12-03,Total,20072
2017-12-04,New Zealand passport,6331
2017-12-04,Other passports,13632
2017-12-04,Total,19963
2017-12-05,New Zealand passport,6111
2017-12-05,Other passports,11934
2017-12-05,Total,18045
2017-12-06,New Zealand passport,6259
2017-12-06,Other passports,13008
2017-12-06,Total,19267
2017-12-07,New Zealand passport,6532
2017-12-07,Other passports,12933
2017-12-07,Total,19465
2017-12-08,New Zealand passport,7311
2017-12-08,Other passports,14108
2017-12-08,Total,21419
2017-12-09,New Zealand passport,6662
2017-12-09,Other passports,13521
2017-12-09,Total,20183
2017-12-10,New Zealand passport,6336
2017-12-10,Other passports,13962
2017-12-10,Total,20298
2017-12-11,New Zealand passport,6274
2017-12-11,Other passports,13703
2017-12-11,Total,19977
2017-12-12,New Zealand passport,6054
2017-12-12,Other passports,15012
2017-12-12,Total,21066
2017-12-13,New Zealand passport,6801
2017-12-13,Other passports,12428
2017-12-13,Total,19229
2017-12-14,New Zealand passport,7693
2017-12-14,Other passports,13130
2017-12-14,Total,20823
2017-12-15,New Zealand passport,8522
2017-12-15,Other passports,16048
2017-12-15,Total,24570
2017-12-16,New Zealand passport,9107
2017-12-16,Other passports,13318
2017-12-16,Total,22425
2017-12-17,New Zealand passport,7257
2017-12-17,Other passports,13158
2017-12-17,Total,20415
2017-12-18,New Zealand passport,7496
2017-12-18,Other passports,12691
2017-12-18,Total,20187
2017-12-19,New Zealand passport,7929
2017-12-19,Other passports,12783
2017-12-19,Total,20712
2017-12-20,New Zealand passport,9352
2017-12-20,Other passports,13280
2017-12-20,Total,22632
2017-12-21,New Zealand passport,10450
2017-12-21,Other passports,13077
2017-12-21,Total,23527
2017-12-22,New Zealand passport,11501
2017-12-22,Other passports,12405
2017-12-22,Total,23906
2017-12-23,New Zealand passport,13123
2017-12-23,Other passports,12902
2017-12-23,Total,26025
2017-12-24,New Zealand passport,9562
2017-12-24,Other passports,11308
2017-12-24,Total,20870
2017-12-25,New Zealand passport,9610
2017-12-25,Other passports,10170
2017-12-25,Total,19780
2017-12-26,New Zealand passport,11303
2017-12-26,Other passports,9704
2017-12-26,Total,21007
2017-12-27,New Zealand passport,11771
2017-12-27,Other passports,11492
2017-12-27,Total,23263
2017-12-28,New Zealand passport,10342
2017-12-28,Other passports,12820
2017-12-28,Total,23162
2017-12-29,New Zealand passport,9084
2017-12-29,Other passports,13057
2017-12-29,Total,22141
2017-12-30,New Zealand passport,8681
2017-12-30,Other passports,16645
2017-12-30,Total,25326
2017-12-31,New Zealand passport,7186
2017-12-31,Other passports,15436
2017-12-31,Total,22622
2018-01-01,New Zealand passport,6954
2018-01-01,Other passports,15387
2018-01-01,Total,22341
2018-01-02,New Zealand passport,7458
2018-01-02,Other passports,15575
2018-01-02,Total,23033
2018-01-03,New Zealand passport,7519
2018-01-03,Other passports,15015
2018-01-03,Total,22534
2018-01-04,New Zealand passport,8044
2018-01-04,Other passports,16057
2018-01-04,Total,24101
2018-01-05,New Zealand passport,8400
2018-01-05,Other passports,19402
2018-01-05,Total,27802
2018-01-06,New Zealand passport,8621
2018-01-06,Other passports,18693
2018-01-06,Total,27314
2018-01-07,New Zealand passport,7935
2018-01-07,Other passports,16367
2018-01-07,Total,24302
2018-01-08,New Zealand passport,8196
2018-01-08,Other passports,16306
2018-01-08,Total,24502
2018-01-09,New Zealand passport,7410
2018-01-09,Other passports,14593
2018-01-09,Total,22003
2018-01-10,New Zealand passport,7839
2018-01-10,Other passports,16210
2018-01-10,Total,24049
2018-01-11,New Zealand passport,7210
2018-01-11,Other passports,14449
2018-01-11,Total,21659
2018-01-12,New Zealand passport,7188
2018-01-12,Other passports,15468
2018-01-12,Total,22656
2018-01-13,New Zealand passport,8093
2018-01-13,Other passports,16111
2018-01-13,Total,24204
2018-01-14,New Zealand passport,7821
2018-01-14,Other passports,15066
2018-01-14,Total,22887
2018-01-15,New Zealand passport,7489
2018-01-15,Other passports,13622
2018-01-15,Total,21111
2018-01-16,New Zealand passport,8007
2018-01-16,Other passports,12910
2018-01-16,Total,20917
2018-01-17,New Zealand passport,7893
2018-01-17,Other passports,12911
2018-01-17,Total,20804
2018-01-18,New Zealand passport,7450
2018-01-18,Other passports,13208
2018-01-18,Total,20658
2018-01-19,New Zealand passport,7601
2018-01-19,Other passports,13684
2018-01-19,Total,21285
2018-01-20,New Zealand passport,7993
2018-01-20,Other passports,14531
2018-01-20,Total,22524
2018-01-21,New Zealand passport,7449
2018-01-21,Other passports,14086
2018-01-21,Total,21535
2018-01-22,New Zealand passport,6976
2018-01-22,Other passports,11968
2018-01-22,Total,18944
2018-01-23,New Zealand passport,6074
2018-01-23,Other passports,13307
2018-01-23,Total,19381
2018-01-24,New Zealand passport,6100
2018-01-24,Other passports,11773
2018-01-24,Total,17873
2018-01-25,New Zealand passport,5989
2018-01-25,Other passports,12575
2018-01-25,Total,18564
2018-01-26,New Zealand passport,6535
2018-01-26,Other passports,12977
2018-01-26,Total,19512
2018-01-27,New Zealand passport,6715
2018-01-27,Other passports,14551
2018-01-27,Total,21266
2018-01-28,New Zealand passport,5367
2018-01-28,Other passports,13898
2018-01-28,Total,19265
2018-01-29,New Zealand passport,5487
2018-01-29,Other passports,13278
2018-01-29,Total,18765
2018-01-30,New Zealand passport,5210
2018-01-30,Other passports,11595
2018-01-30,Total,16805
2018-01-31,New Zealand passport,5488
2018-01-31,Other passports,11623
2018-01-31,Total,17111
2018-02-01,New Zealand passport,6347
2018-02-01,Other passports,11362
2018-02-01,Total,17709
2018-02-02,New Zealand passport,7500
2018-02-02,Other passports,13695
2018-02-02,Total,21195
2018-02-03,New Zealand passport,6723
2018-02-03,Other passports,12962
2018-02-03,Total,19685
2018-02-04,New Zealand passport,5889
2018-02-04,Other passports,12079
2018-02-04,Total,17968
2018-02-05,New Zealand passport,5254
2018-02-05,Other passports,12025
2018-02-05,Total,17279
2018-02-06,New Zealand passport,4939
2018-02-06,Other passports,12771
2018-02-06,Total,17710
2018-02-07,New Zealand passport,5729
2018-02-07,Other passports,10470
2018-02-07,Total,16199
2018-02-08,New Zealand passport,5909
2018-02-08,Other passports,11633
2018-02-08,Total,17542
2018-02-09,New Zealand passport,6182
2018-02-09,Other passports,12673
2018-02-09,Total,18855
2018-02-10,New Zealand passport,5338
2018-02-10,Other passports,14100
2018-02-10,Total,19438
2018-02-11,New Zealand passport,5502
2018-02-11,Other passports,13212
2018-02-11,Total,18714
2018-02-12,New Zealand passport,5920
2018-02-12,Other passports,13618
2018-02-12,Total,19538
2018-02-13,New Zealand passport,4350
2018-02-13,Other passports,11934
2018-02-13,Total,16284
2018-02-14,New Zealand passport,5170
2018-02-14,Other passports,12851
2018-02-14,Total,18021
2018-02-15,New Zealand passport,5895
2018-02-15,Other passports,12443
2018-02-15,Total,18338
2018-02-16,New Zealand passport,6433
2018-02-16,Other passports,14472
2018-02-16,Total,20905
2018-02-17,New Zealand passport,5653
2018-02-17,Other passports,15952
2018-02-17,Total,21605
2018-02-18,New Zealand passport,5325
2018-02-18,Other passports,16096
2018-02-18,Total,21421
2018-02-19,New Zealand passport,5672
2018-02-19,Other passports,16859
2018-02-19,Total,22531
2018-02-20,New Zealand passport,4745
2018-02-20,Other passports,14476
2018-02-20,Total,19221
2018-02-21,New Zealand passport,5371
2018-02-21,Other passports,17741
2018-02-21,Total,23112
2018-02-22,New Zealand passport,6576
2018-02-22,Other passports,20950
2018-02-22,Total,27526
2018-02-23,New Zealand passport,6506
2018-02-23,Other passports,17950
2018-02-23,Total,24456
2018-02-24,New Zealand passport,5722
2018-02-24,Other passports,17827
2018-02-24,Total,23549
2018-02-25,New Zealand passport,5332
2018-02-25,Other passports,16853
2018-02-25,Total,22185
2018-02-26,New Zealand passport,5660
2018-02-26,Other passports,17074
2018-02-26,Total,22734
2018-02-27,New Zealand passport,4987
2018-02-27,Other passports,15613
2018-02-27,Total,20600
2018-02-28,New Zealand passport,5829
2018-02-28,Other passports,16480
2018-02-28,Total,22309
2018-03-01,New Zealand passport,7076
2018-03-01,Other passports,15036
2018-03-01,Total,22112
2018-03-02,New Zealand passport,7277
2018-03-02,Other passports,16285
2018-03-02,Total,23562
2018-03-03,New Zealand passport,6178
2018-03-03,Other passports,15384
2018-03-03,Total,21562
2018-03-04,New Zealand passport,5842
2018-03-04,Other passports,15316
2018-03-04,Total,21158
2018-03-05,New Zealand passport,6439
2018-03-05,Other passports,14793
2018-03-05,Total,21232
2018-03-06,New Zealand passport,5932
2018-03-06,Other passports,12951
2018-03-06,Total,18883
2018-03-07,New Zealand passport,6381
2018-03-07,Other passports,13290
2018-03-07,Total,19671
2018-03-08,New Zealand passport,7037
2018-03-08,Other passports,12119
2018-03-08,Total,19156
2018-03-09,New Zealand passport,7533
2018-03-09,Other passports,14374
2018-03-09,Total,21907
2018-03-10,New Zealand passport,6375
2018-03-10,Other passports,13989
2018-03-10,Total,20364
2018-03-11,New Zealand passport,5623
2018-03-11,Other passports,14887
2018-03-11,Total,20510
2018-03-12,New Zealand passport,6224
2018-03-12,Other passports,14001
2018-03-12,Total,20225
2018-03-13,New Zealand passport,5891
2018-03-13,Other passports,13070
2018-03-13,Total,18961
2018-03-14,New Zealand passport,6758
2018-03-14,Other passports,13406
2018-03-14,Total,20164
2018-03-15,New Zealand passport,7153
2018-03-15,Other passports,12447
2018-03-15,Total,19600
2018-03-16,New Zealand passport,7801
2018-03-16,Other passports,14793
2018-03-16,Total,22594
2018-03-17,New Zealand passport,6809
2018-03-17,Other passports,14052
2018-03-17,Total,20861
2018-03-18,New Zealand passport,6185
2018-03-18,Other passports,14662
2018-03-18,Total,20847
2018-03-19,New Zealand passport,6452
2018-03-19,Other passports,14389
2018-03-19,Total,20841
2018-03-20,New Zealand passport,5751
2018-03-20,Other passports,12825
2018-03-20,Total,18576
2018-03-21,New Zealand passport,6737
2018-03-21,Other passports,13354
2018-03-21,Total,20091
2018-03-22,New Zealand passport,7378
2018-03-22,Other passports,12594
2018-03-22,Total,19972
2018-03-23,New Zealand passport,7455
2018-03-23,Other passports,14657
2018-03-23,Total,22112
2018-03-24,New Zealand passport,6709
2018-03-24,Other passports,14841
2018-03-24,Total,21550
2018-03-25,New Zealand passport,5872
2018-03-25,Other passports,14274
2018-03-25,Total,20146
2018-03-26,New Zealand passport,6616
2018-03-26,Other passports,14169
2018-03-26,Total,20785
2018-03-27,New Zealand passport,6338
2018-03-27,Other passports,12780
2018-03-27,Total,19118
2018-03-28,New Zealand passport,7576
2018-03-28,Other passports,12314
2018-03-28,Total,19890
2018-03-29,New Zealand passport,9091
2018-03-29,Other passports,11863
2018-03-29,Total,20954
2018-03-30,New Zealand passport,9729
2018-03-30,Other passports,11959
2018-03-30,Total,21688
2018-03-31,New Zealand passport,6060
2018-03-31,Other passports,12057
2018-03-31,Total,18117
2018-04-01,New Zealand passport,6441
2018-04-01,Other passports,14136
2018-04-01,Total,20577
2018-04-02,New Zealand passport,6192
2018-04-02,Other passports,12623
2018-04-02,Total,18815
2018-04-03,New Zealand passport,7249
2018-04-03,Other passports,13480
2018-04-03,Total,20729
2018-04-04,New Zealand passport,7141
2018-04-04,Other passports,12554
2018-04-04,Total,19695
2018-04-05,New Zealand passport,7871
2018-04-05,Other passports,11890
2018-04-05,Total,19761
2018-04-06,New Zealand passport,8249
2018-04-06,Other passports,12471
2018-04-06,Total,20720
2018-04-07,New Zealand passport,9006
2018-04-07,Other passports,13586
2018-04-07,Total,22592
2018-04-08,New Zealand passport,7149
2018-04-08,Other passports,14057
2018-04-08,Total,21206
2018-04-09,New Zealand passport,7409
2018-04-09,Other passports,12938
2018-04-09,Total,20347
2018-04-10,New Zealand passport,6131
2018-04-10,Other passports,10209
2018-04-10,Total,16340
2018-04-11,New Zealand passport,9409
2018-04-11,Other passports,12012
2018-04-11,Total,21421
2018-04-12,New Zealand passport,9886
2018-04-12,Other passports,11955
2018-04-12,Total,21841
